0.0004,0.0004,0.0004,0.0004,0.002,0.002,0.002,0.002,0.0197,0.0197,0.0197,0.0197,0.0005,0.0005,0.0005,0.0005
0.0069,0.0069,0.0069,0.0069,0.0016,0.0016,0.0016,0.0016,0.0038,0.0038,0.0038,0.0038,0.0125,0.0125,0.0125,0.0125
0.0319,0.0319,0.0319,0.0319,0.0004,0.0004,0.0004,0.0004,0.0022,0.0022,0.0022,0.0022,0.0091,0.0091,0.0091,0.0091
0.0001,0.0001,0.0001,0.0001,0.0415,0.0415,0.0415,0.0415,0.0049,0.0049,0.0049,0.0049,0.0006,0.0006,0.0006,0.0006
0.0004,0.0004,0.0004,0.0004,0.002,0.002,0.002,0.002,0.0197,0.0197,0.0197,0.0197,0.0005,0.0005,0.0005,0.0005
0.0069,0.0069,0.0069,0.0069,0.0016,0.0016,0.0016,0.0016,0.0038,0.0038,0.0038,0.0038,0.0125,0.0125,0.0125,0.0125
0.0319,0.0319,0.0319,0.0319,0.0004,0.0004,0.0004,0.0004,0.0022,0.0022,0.0022,0.0022,0.0091,0.0091,0.0091,0.0091
0.0001,0.0001,0.0001,0.0001,0.0415,0.0415,0.0415,0.0415,0.0049,0.0049,0.0049,0.0049,0.0006,0.0006,0.0006,0.0006
0.0004,0.0004,0.0004,0.0004,0.002,0.002,0.002,0.002,0.0197,0.0197,0.0197,0.0197,0.0005,0.0005,0.0005,0.0005
0.0069,0.0069,0.0069,0.0069,0.0016,0.0016,0.0016,0.0016,0.0038,0.0038,0.0038,0.0038,0.0125,0.0125,0.0125,0.0125
0.0319,0.0319,0.0319,0.0319,0.0004,0.0004,0.0004,0.0004,0.0022,0.0022,0.0022,0.0022,0.0091,0.0091,0.0091,0.0091
0.0001,0.0001,0.0001,0.0001,0.0415,0.0415,0.0415,0.0415,0.0049,0.0049,0.0049,0.0049,0.0006,0.0006,0.0006,0.0006
0.0004,0.0004,0.0004,0.0004,0.002,0.002,0.002,0.002,0.0197,0.0197,0.0197,0.0197,0.0005,0.0005,0.0005,0.0005
0.0069,0.0069,0.0069,0.0069,0.0016,0.0016,0.0016,0.0016,0.0038,0.0038,0.0038,0.0038,0.0125,0.0125,0.0125,0.0125
0.0319,0.0319,0.0319,0.0319,0.0004,0.0004,0.0004,0.0004,0.0022,0.0022,0.0022,0.0022,0.0091,0.0091,0.0091,0.0091
0.0001,0.0001,0.0001,0.0001,0.0415,0.0415,0.0415,0.0415,0.0049,0.0049,0.0049,0.0049,0.0006,0.0006,0.0006,0.0006
